Category,Item,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Breakfast,Egg McMuffin,300,13.0,260,750,31,4,3,17,10,0,25,15
Breakfast,Egg White Delight,250,8.0,25,770,30,4,3,18,6,0,25,8
Breakfast,Sausage McMuffin,370,23.0,45,780,29,4,2,14,8,0,25,10
Breakfast,Sausage McMuffin with Egg,450,28.0,285,860,30,4,2,21,15,0,30,15
Breakfast,Sausage McMuffin with Egg Whites,400,23.0,50,880,30,4,2,21,6,0,25,10
Breakfast,Steak & Egg McMuffin,430,23.0,300,960,31,4,3,26,15,2,30,20
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,26.0,250,1300,38,2,3,19,10,8,15,15
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,30.0,250,1410,43,3,4,19,15,8,20,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,20.0,35,1300,36,2,3,20,2,8,15,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,25.0,35,1420,42,3,4,20,6,8,15,15
Breakfast,Sausage Biscuit (Regular Biscuit),430,27.0,30,1080,34,2,2,11,0,0,6,15
Breakfast,Sausage Biscuit (Large Biscuit),480,31.0,30,1190,39,3,3,11,4,0,8,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,33.0,250,1170,36,2,2,18,6,0,10,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,37.0,250,1280,42,3,3,18,10,0,10,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,27.0,35,1180,34,2,3,18,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,32.0,35,1290,40,3,3,18,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),410,20.0,30,1180,41,2,3,17,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),470,24.0,30,1290,46,3,4,17,4,2,8,15
Breakfast,Steak & Egg Biscuit (Regular Biscuit),540,32.0,280,1470,38,2,3,25,10,2,20,25
Breakfast,"Bacon, Egg & Cheese McGriddles",460,21.0,250,1250,48,2,15,19,10,10,20,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,15.0,35,1250,47,2,16,20,2,10,15,10
Breakfast,Sausage McGriddles,420,22.0,35,1030,44,2,15,11,0,0,8,10
Breakfast,"Sausage, Egg & Cheese McGriddles",550,31.0,265,1320,48,2,15,20,10,0,20,15
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,26.0,50,1320,46,2,15,21,2,0,20,10
Breakfast,"Bacon, Egg & Cheese Bagel",620,31.0,275,1480,57,3,7,30,20,15,20,20
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",570,25.0,60,1480,55,3,8,30,10,15,20,15
Breakfast,"Steak, Egg & Cheese Bagel",670,35.0,295,1510,56,3,7,33,20,4,25,25
Breakfast,Big Breakfast (Regular Biscuit),740,48.0,555,1560,51,3,3,28,15,2,15,25
Breakfast,Big Breakfast (Large Biscuit),800,52.0,555,1680,56,4,3,28,15,2,15,30
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),640,37.0,35,1590,50,3,3,26,0,2,10,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),690,41.0,35,1700,55,4,4,26,4,2,10,15
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),1090,56.0,575,2150,111,6,17,36,15,2,25,40
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),1150,60.0,575,2260,116,7,17,36,15,2,30,40
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,46.0,55,2170,110,6,17,35,0,2,25,30
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,50.0,55,2290,115,7,18,35,4,2,25,30
Breakfast,Hotcakes,350,9.0,20,590,60,3,14,8,0,0,15,15
Breakfast,Hotcakes and Sausage,520,24.0,50,930,61,3,14,15,0,0,15,15
Breakfast,Sausage Burrito,300,16.0,115,790,26,1,2,12,10,2,15,15
Breakfast,Hash Brown,150,9.0,0,310,15,2,0,1,0,2,0,2
Breakfast,Cinnamon Melts,460,19.0,15,370,66,3,32,6,4,0,6,15
