Sex,Age_Bin,Activity,Calories
0,1,0,1120
0,1,1,1280
0,1,2,1400
0,2,0,1400
0,2,1,1680
0,2,2,1880
0,3,0,1720
0,3,1,2000
0,3,2,2320
0,4,0,1900
0,4,1,2100
0,4,2,2400
0,5,0,1800
0,5,1,2000
0,5,2,2400
0,6,0,1800
0,6,1,2000
0,6,2,2200
0,7,0,1800
0,7,1,2000
0,7,2,2200
0,8,0,1800
0,8,1,2000
0,8,2,2200
0,9,0,1800
0,9,1,2000
0,9,2,2200
0,10,0,1600
0,10,1,1800
0,10,2,2200
0,11,0,1600
0,11,1,1800
0,11,2,2200
0,12,0,1600
0,12,1,1800
0,12,2,2000
0,13,0,1600
0,13,1,1800
0,13,2,2000
0,14,0,1600
0,14,1,1800
0,14,2,2000
0,15,0,1600
0,15,1,1800
0,15,2,2000
1,1,0,1160
1,1,1,1360
1,1,2,1480
1,2,0,1560
1,2,1,1760
1,2,2,2040
1,3,0,2080
1,3,1,2440
1,3,2,2800
1,4,0,2450
1,4,1,2800
1,4,2,3100
1,5,0,2400
1,5,1,2600
1,5,2,3000
1,6,0,2400
1,6,1,2600
1,6,2,3000
1,7,0,2400
1,7,1,2600
1,7,2,2800
1,8,0,2200
1,8,1,2600
1,8,2,2800
1,9,0,2200
1,9,1,2400
1,9,2,2800
1,10,0,2200
1,10,1,2400
1,10,2,2800
1,11,0,2200
1,11,1,2400
1,11,2,2600
1,12,0,2000
1,12,1,2400
1,12,2,2600
1,13,0,2000
1,13,1,2200
1,13,2,2600
1,14,0,2000
1,14,1,2200
1,14,2,2600
1,15,0,2000
1,15,1,2200
1,15,2,2400
