Sex,Age_Bin,Calories (kcal),Protein (g),Carbohydrate (g),Dietary fiber (g),Sugars (% kcal),Total Fat (% kcal),Calcium (mg),Iron (mg),Sodium (mg),Vitamin A (mcg),Vitamin C (mg)
0,1,1000,13,130,14.0,10,35,700,7,1500,300,15
1,1,1000,13,130,14.0,10,35,700,7,1500,300,15
0,1,1200,19,130,16.8,10,30,1000,10,1900,400,25
1,1,1500,19,130,19.6,10,30,1000,10,1900,400,25
0,2,1600,34,130,22.4,10,30,1300,8,2200,600,45
1,2,1800,34,130,25.2,10,30,1300,8,2200,600,45
0,3,1800,46,130,25.2,10,30,1300,15,2300,700,65
1,3,2700,52,130,30.8,10,30,1300,11,2300,900,75
0,5,2000,46,130,28.0,10,27,1000,18,2300,700,75
1,5,2700,56,130,33.6,10,27,1000,8,2300,900,90
0,8,1800,46,130,25.2,10,27,1000,18,2300,700,75
1,8,2200,56,130,30.8,10,27,1000,8,2300,900,90
0,10,1600,46,130,22.4,10,27,1200,8,2300,700,75
1,10,2000,56,130,28.0,10,27,1000,8,2300,900,90
