Category,Item,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Beef & Pork,Beverages,Breakfast,Chicken & Fish,Coffee & Tea,Desserts,Salads,Smoothies & Shakes,Snacks & Sides,Product
Breakfast,Egg McMuffin,510.0,33.0,250.0,1170.0,36.0,2.0,2.0,18.0,6.0,0.0,10.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Breakfast,Egg White Delight,520.0,24.0,50.0,930.0,61.0,3.0,14.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Breakfast,Sausage McMuffin,370.0,23.0,45.0,780.0,29.0,4.0,2.0,14.0,8.0,0.0,25.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Breakfast,Sausage McMuffin with Egg,350.0,9.0,20.0,590.0,60.0,3.0,14.0,8.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Breakfast,Sausage McMuffin with Egg Whites,400.0,23.0,50.0,880.0,30.0,4.0,2.0,21.0,6.0,0.0,25.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Breakfast,Steak & Egg McMuffin,400.0,15.0,35.0,1250.0,47.0,2.0,16.0,20.0,2.0,10.0,15.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460.0,27.0,35.0,1180.0,34.0,2.0,3.0,18.0,0.0,0.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",470.0,24.0,30.0,1290.0,46.0,3.0,4.0,17.0,4.0,2.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",540.0,32.0,280.0,1470.0,38.0,2.0,3.0,25.0,10.0,2.0,20.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",520.0,32.0,35.0,1290.0,40.0,3.0,3.0,18.0,4.0,0.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Breakfast,Sausage Biscuit (Regular Biscuit),570.0,25.0,60.0,1480.0,55.0,3.0,8.0,30.0,10.0,15.0,20.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Breakfast,Sausage Biscuit (Large Biscuit),550.0,31.0,265.0,1320.0,48.0,2.0,15.0,20.0,10.0,0.0,20.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),620.0,31.0,275.0,1480.0,57.0,3.0,7.0,30.0,20.0,15.0,20.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Breakfast,Sausage Biscuit with Egg (Large Biscuit),570.0,37.0,250.0,1280.0,42.0,3.0,3.0,18.0,10.0,0.0,10.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),670.0,35.0,295.0,1510.0,56.0,3.0,7.0,33.0,20.0,4.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),640.0,37.0,35.0,1590.0,50.0,3.0,3.0,26.0,0.0,2.0,10.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),1050.0,50.0,55.0,2290.0,115.0,7.0,18.0,35.0,4.0,2.0,25.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),150.0,9.0,0.0,310.0,15.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Breakfast,Steak & Egg Biscuit (Regular Biscuit),250.0,8.0,25.0,770.0,30.0,4.0,3.0,18.0,6.0,0.0,25.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Breakfast,"Bacon, Egg & Cheese McGriddles",1090.0,56.0,575.0,2150.0,111.0,6.0,17.0,36.0,15.0,2.0,25.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",1150.0,60.0,575.0,2260.0,116.0,7.0,17.0,36.0,15.0,2.0,30.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
Breakfast,Sausage McGriddles,990.0,46.0,55.0,2170.0,110.0,6.0,17.0,35.0,0.0,2.0,25.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Breakfast,"Sausage, Egg & Cheese McGriddles",690.0,41.0,35.0,1700.0,55.0,4.0,4.0,26.0,4.0,2.0,10.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",740.0,48.0,555.0,1560.0,51.0,3.0,3.0,28.0,15.0,2.0,15.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
Breakfast,"Bacon, Egg & Cheese Bagel",410.0,20.0,35.0,1300.0,36.0,2.0,3.0,20.0,2.0,8.0,15.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",410.0,20.0,30.0,1180.0,41.0,2.0,3.0,17.0,0.0,2.0,6.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Breakfast,"Steak, Egg & Cheese Bagel",430.0,23.0,300.0,960.0,31.0,4.0,3.0,26.0,15.0,2.0,30.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Breakfast,Big Breakfast (Regular Biscuit),420.0,22.0,35.0,1030.0,44.0,2.0,15.0,11.0,0.0,0.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Breakfast,Big Breakfast (Large Biscuit),450.0,28.0,285.0,860.0,30.0,4.0,2.0,21.0,15.0,0.0,30.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),430.0,27.0,30.0,1080.0,34.0,2.0,2.0,11.0,0.0,0.0,6.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),800.0,52.0,555.0,1680.0,56.0,4.0,3.0,28.0,15.0,2.0,15.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),470.0,25.0,35.0,1420.0,42.0,3.0,4.0,20.0,6.0,8.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),260.0,4.0,5.0,115.0,49.0,5.0,18.0,5.0,2.0,130.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),290.0,4.0,5.0,160.0,58.0,5.0,32.0,5.0,2.0,130.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),300.0,13.0,260.0,750.0,31.0,4.0,3.0,17.0,10.0,0.0,25.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Breakfast,Hotcakes,480.0,31.0,30.0,1190.0,39.0,3.0,3.0,11.0,4.0,0.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Breakfast,Hotcakes and Sausage,500.0,26.0,50.0,1320.0,46.0,2.0,15.0,21.0,2.0,0.0,20.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Breakfast,Sausage Burrito,460.0,21.0,250.0,1250.0,48.0,2.0,15.0,19.0,10.0,10.0,20.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Breakfast,Hash Brown,460.0,19.0,15.0,370.0,66.0,3.0,32.0,6.0,4.0,0.0,6.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Breakfast,Cinnamon Melts,460.0,26.0,250.0,1300.0,38.0,2.0,3.0,19.0,10.0,8.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Breakfast,Fruit & Maple Oatmeal,300.0,16.0,115.0,790.0,26.0,1.0,2.0,12.0,10.0,2.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,520.0,30.0,250.0,1410.0,43.0,3.0,4.0,19.0,15.0,8.0,20.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Beef & Pork,Big Mac,530.0,27.0,85.0,960.0,47.0,3.0,9.0,24.0,6.0,2.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Beef & Pork,Quarter Pounder with Cheese,600.0,29.0,105.0,1440.0,48.0,3.0,12.0,37.0,6.0,15.0,25.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Beef & Pork,Quarter Pounder with Bacon & Cheese,240.0,8.0,30.0,480.0,32.0,1.0,6.0,12.0,2.0,2.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,500.0,26.0,70.0,980.0,44.0,3.0,11.0,22.0,2.0,2.0,15.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Beef & Pork,Quarter Pounder Deluxe,610.0,31.0,105.0,1180.0,46.0,3.0,10.0,37.0,8.0,20.0,25.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Beef & Pork,Double Quarter Pounder with Cheese,520.0,26.0,95.0,1100.0,41.0,3.0,10.0,30.0,10.0,2.0,30.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Beef & Pork,Hamburger,430.0,23.0,80.0,1030.0,35.0,2.0,6.0,22.0,6.0,8.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Beef & Pork,Cheeseburger,440.0,22.0,90.0,1110.0,35.0,2.0,7.0,27.0,6.0,10.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Beef & Pork,Double Cheeseburger,720.0,40.0,115.0,1470.0,51.0,4.0,14.0,39.0,8.0,25.0,30.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Beef & Pork,Bacon Clubhouse Burger,540.0,27.0,85.0,960.0,45.0,3.0,9.0,29.0,10.0,8.0,25.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Beef & Pork,McDouble,750.0,43.0,160.0,1280.0,42.0,3.0,10.0,48.0,10.0,2.0,30.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Beef & Pork,Bacon McDouble,430.0,22.0,80.0,760.0,34.0,2.0,7.0,22.0,8.0,8.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Beef & Pork,Daily Double,380.0,17.0,75.0,840.0,34.0,2.0,7.0,22.0,6.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Beef & Pork,Jalapeño Double,430.0,21.0,90.0,1040.0,35.0,2.0,7.0,24.0,10.0,2.0,30.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
